,chooseFrontProbability,likeFrontNumber,likeNumber,students,teacherUtility,totalUtility,utility-0,utility-1,utility-2,utility-3,utility-4,utility-5,utility-6,utility-7
110,0,0,4,"[{'id': 0, 'like': 0, 'front': 1, 'utility': 1000}, {'id': 1, 'like': 0, 'front': 1, 'utility': 1000}, {'id': 2, 'like': 0, 'front': 1, 'utility': 1000}, {'id': 3, 'like': 0, 'front': 1, 'utility': 1000}, {'id': 4, 'like': 1, 'front': 0, 'utility': 255}, {'id': 5, 'like': 1, 'front': 0, 'utility': 250}, {'id': 6, 'like': 1, 'front': 0, 'utility': 243}, {'id': 7, 'like': 1, 'front': 0, 'utility': 252}]",1000,5000,1000,1000,1000,1000,255,250,243,252
329,1,7,7,"[{'id': 0, 'like': 1, 'front': 1, 'utility': 258}, {'id': 1, 'like': 1, 'front': 1, 'utility': 248}, {'id': 2, 'like': 1, 'front': 1, 'utility': 248}, {'id': 3, 'like': 1, 'front': 1, 'utility': 246}, {'id': 4, 'like': 1, 'front': 0, 'utility': 0}, {'id': 5, 'like': 1, 'front': 0, 'utility': 0}, {'id': 6, 'like': 1, 'front': 0, 'utility': 0}, {'id': 7, 'like': 0, 'front': 0, 'utility': 1000}]",1000,2000,258,248,248,246,0,0,0,1000
219,1,5,5,"[{'id': 0, 'like': 1, 'front': 1, 'utility': 254}, {'id': 1, 'like': 1, 'front': 1, 'utility': 247}, {'id': 2, 'like': 1, 'front': 1, 'utility': 242}, {'id': 3, 'like': 1, 'front': 1, 'utility': 256}, {'id': 4, 'like': 1, 'front': 0, 'utility': 0}, {'id': 5, 'like': 0, 'front': 0, 'utility': 1000}, {'id': 6, 'like': 0, 'front': 0, 'utility': 1000}, {'id': 7, 'like': 0, 'front': 0, 'utility': 1000}]",1000,3999,254,247,242,256,0,1000,1000,1000
274,1,6,6,"[{'id': 0, 'like': 1, 'front': 1, 'utility': 252}, {'id': 1, 'like': 1, 'front': 1, 'utility': 245}, {'id': 2, 'like': 1, 'front': 1, 'utility': 255}, {'id': 3, 'like': 1, 'front': 1, 'utility': 249}, {'id': 4, 'like': 1, 'front': 0, 'utility': 0}, {'id': 5, 'like': 1, 'front': 0, 'utility': 0}, {'id': 6, 'like': 0, 'front': 0, 'utility': 1000}, {'id': 7, 'like': 0, 'front': 0, 'utility': 1000}]",1000,3001,252,245,255,249,0,0,1000,1000
252,1,4,6,"[{'id': 0, 'like': 1, 'front': 1, 'utility': 252}, {'id': 1, 'like': 1, 'front': 1, 'utility': 244}, {'id': 2, 'like': 1, 'front': 1, 'utility': 246}, {'id': 3, 'like': 1, 'front': 1, 'utility': 258}, {'id': 4, 'like': 1, 'front': 0, 'utility': 0}, {'id': 5, 'like': 1, 'front': 0, 'utility': 0}, {'id': 6, 'like': 0, 'front': 0, 'utility': 1000}, {'id': 7, 'like': 0, 'front': 0, 'utility': 1000}]",1000,3000,252,244,246,258,0,0,1000,1000
318,1,6,7,"[{'id': 0, 'like': 1, 'front': 1, 'utility': 251}, {'id': 1, 'like': 1, 'front': 1, 'utility': 253}, {'id': 2, 'like': 1, 'front': 1, 'utility': 253}, {'id': 3, 'like': 1, 'front': 1, 'utility': 242}, {'id': 4, 'like': 1, 'front': 0, 'utility': 0}, {'id': 5, 'like': 1, 'front': 0, 'utility': 0}, {'id': 6, 'like': 0, 'front': 0, 'utility': 1000}, {'id': 7, 'like': 0, 'front': 0, 'utility': 1000}]",1000,2999,251,253,253,242,0,0,1000,1000
307,1,5,7,"[{'id': 0, 'like': 1, 'front': 1, 'utility': 250}, {'id': 1, 'like': 1, 'front': 1, 'utility': 244}, {'id': 2, 'like': 1, 'front': 1, 'utility': 256}, {'id': 3, 'like': 1, 'front': 1, 'utility': 251}, {'id': 4, 'like': 1, 'front': 0, 'utility': 0}, {'id': 5, 'like': 1, 'front': 0, 'utility': 0}, {'id': 6, 'like': 0, 'front': 0, 'utility': 1000}, {'id': 7, 'like': 0, 'front': 0, 'utility': 1000}]",1000,3001,250,244,256,251,0,0,1000,1000
208,1,4,5,"[{'id': 0, 'like': 1, 'front': 1, 'utility': 248}, {'id': 1, 'like': 1, 'front': 1, 'utility': 251}, {'id': 2, 'like': 1, 'front': 1, 'utility': 253}, {'id': 3, 'like': 1, 'front': 1, 'utility': 248}, {'id': 4, 'like': 1, 'front': 0, 'utility': 0}, {'id': 5, 'like': 0, 'front': 0, 'utility': 1000}, {'id': 6, 'like': 0, 'front': 0, 'utility': 1000}, {'id': 7, 'like': 0, 'front': 0, 'utility': 1000}]",1000,4000,248,251,253,248,0,1000,1000,1000
263,1,5,6,"[{'id': 0, 'like': 1, 'front': 1, 'utility': 248}, {'id': 1, 'like': 1, 'front': 1, 'utility': 246}, {'id': 2, 'like': 1, 'front': 1, 'utility': 257}, {'id': 3, 'like': 1, 'front': 1, 'utility': 250}, {'id': 4, 'like': 1, 'front': 0, 'utility': 0}, {'id': 5, 'like': 0, 'front': 0, 'utility': 1000}, {'id': 6, 'like': 0, 'front': 0, 'utility': 1000}, {'id': 7, 'like': 0, 'front': 0, 'utility': 1000}]",1000,4001,248,246,257,250,0,1000,1000,1000
164,1,4,4,"[{'id': 0, 'like': 1, 'front': 1, 'utility': 244}, {'id': 1, 'like': 1, 'front': 1, 'utility': 246}, {'id': 2, 'like': 1, 'front': 1, 'utility': 253}, {'id': 3, 'like': 1, 'front': 1, 'utility': 258}, {'id': 4, 'like': 0, 'front': 0, 'utility': 1000}, {'id': 5, 'like': 0, 'front': 0, 'utility': 1000}, {'id': 6, 'like': 0, 'front': 0, 'utility': 1000}, {'id': 7, 'like': 0, 'front': 0, 'utility': 1000}]",1000,5001,244,246,253,258,1000,1000,1000,1000
